url,appearances,x,y,pic_id,meta_data,superName,fullName,nickName,teams
http://marvel.wikia.com/wiki/Peter_Parker_(Earth-616),4311,-34.798626,23.953491,0,"['Spider-Man', 'Peter Benjamin Parker', 'As Peter Parker: Daily Bugle (formerly Front Line);[91] formerly Uncle Ben Foundation, Parker Industries (CEO), Horizon Labs, Parker Technologies, The DB! / Daily Bugle, Daily Globe, Tricorp ResearchAs Spider-Man: Formerly partner of Deadpool, Avengers, Kang Club, League of Realms, Spider-Army, Web-Warriors,[92] Resistance, Inklings, Parker Industries, Avengers Unity Division, X-Men (Jean Grey School member), Special Class (teacher), Mighty Avengers, Future Foundation, Heroes For Hire, New Avengers, Marvel Knights, Fantastic Four, Secret Avengers (Civil War), Superhuman Task Force (Pro-Registration Superheroes), Outlaws, New Fantastic Four, Brooklyn Avengers, Secret Defenders, Galactic Alliance of Spider-Men, the Mighty, Spider Society, mentor to Misfits, Frightful Four (hypnotized into joining), Inner Demons (Triads) (corrupted by Mister Negative), partner of Eddie Brock (Venom), Ben Reilly (Scarlet Spider), Kaine (Scarlet Spider), Alpha, Virtue, Black Cat, Toxin, Silk, host of the Uni Power, Avatar of the Great Weaver, former receptacle of The Other']",Spider-Man,Peter Benjamin Parker,,"As Peter Parker: Daily Bugle (formerly Front Line);[91] formerly Uncle Ben Foundation, Parker Industries (CEO), Horizon Labs, Parker Technologies, The DB! / Daily Bugle, Daily Globe, Tricorp ResearchAs Spider-Man: Formerly partner of Deadpool, Avengers, Kang Club, League of Realms, Spider-Army, Web-Warriors,[92] Resistance, Inklings, Parker Industries, Avengers Unity Division, X-Men (Jean Grey School member), Special Class (teacher), Mighty Avengers, Future Foundation, Heroes For Hire, New Avengers, Marvel Knights, Fantastic Four, Secret Avengers (Civil War), Superhuman Task Force (Pro-Registration Superheroes), Outlaws, New Fantastic Four, Brooklyn Avengers, Secret Defenders, Galactic Alliance of Spider-Men, the Mighty, Spider Society, mentor to Misfits, Frightful Four (hypnotized into joining), Inner Demons (Triads) (corrupted by Mister Negative), partner of Eddie Brock (Venom), Ben Reilly (Scarlet Spider), Kaine (Scarlet Spider), Alpha, Virtue, Black Cat, Toxin, Silk, host of the Uni Power, Avatar of the Great Weaver, former receptacle of The Other"
http://marvel.wikia.com/wiki/Steven_Rogers_(Earth-616),3581,-34.42785,24.666586,1,"['Captain America', 'Steven ""Steve"" Rogers', 'Avengers (off-field leader); formerly S.H.I.E.L.D., Avengers Unity Division (founder), Illuminati, Invaders (leader), U.S. Army, Operation Rebirth, Secret Avengers (leader), Captain America Corps, Secret Avengers (Civil War), New Avengers, Avengers (Heroes Reborn), Diamondback (partner), Demolition-Man (partner), Secret Defenders, Nomad (partner), Falcon (partner), Rick Jones (partner), Crazy S.U.E.S., Bucky (partner), Landau, Luckman & Lake[29], Redeemers[30]']",Captain America,"Steven ""Steve"" Rogers",Steve Rogers,"Avengers (off-field leader); formerly S.H.I.E.L.D., Avengers Unity Division (founder), Illuminati, Invaders (leader), U.S. Army, Operation Rebirth, Secret Avengers (leader), Captain America Corps, Secret Avengers (Civil War), New Avengers, Avengers (Heroes Reborn), Diamondback (partner), Demolition-Man (partner), Secret Defenders, Nomad (partner), Falcon (partner), Rick Jones (partner), Crazy S.U.E.S., Bucky (partner), Landau, Luckman & Lake[29], Redeemers[30]"
http://marvel.wikia.com/wiki/Anthony_Stark_(Earth-616),3290,-34.198433,24.481848,2,"['Iron Man', 'Anthony Edward ""Tony"" Stark', 'A.I. Army; formerly Avengers, Stark Unlimited (CEO), partner of the Wasp, Stark Industries (CEO), Red Team, Avengers (Heroes Reborn), Illuminati, Axis, Stark Resilient, S.H.I.E.L.D., Guardians of the Galaxy, Initiative (leader), Pro-Registration Superhero Unit (leader), New Avengers, Mighty Avengers, Hellfire Club, Maria Stark Foundation, Stark Solutions, Force Works, Avengers West Coast (part of Kree delegation during Operation Galactic Storm), United States Department of Defense, the Mighty, Knights of the Atomic Round Table, Alcoholics Anonymous, Damage Control, Imperio Techworks']",Iron Man,"Anthony Edward ""Tony"" Stark",Tony Stark,"A.I. Army; formerly Avengers, Stark Unlimited (CEO), partner of the Wasp, Stark Industries (CEO), Red Team, Avengers (Heroes Reborn), Illuminati, Axis, Stark Resilient, S.H.I.E.L.D., Guardians of the Galaxy, Initiative (leader), Pro-Registration Superhero Unit (leader), New Avengers, Mighty Avengers, Hellfire Club, Maria Stark Foundation, Stark Solutions, Force Works, Avengers West Coast (part of Kree delegation during Operation Galactic Storm), United States Department of Defense, the Mighty, Knights of the Atomic Round Table, Alcoholics Anonymous, Damage Control, Imperio Techworks"
http://marvel.wikia.com/wiki/James_Howlett_(Earth-616),3235,32.66697,18.54995,3,"['Wolverine', 'James Howlett', ""X-Men, Krakoa's X-Force; formerly Avengers Unity Division, Offer's Squad, Avengers, Murder Circus (brainwashed), Cyclops' and Archangel's X-Force (founding member, co-leader with Archangel), New Avengers, X.S.E., Horsemen of Apocalypse, New Fantastic Four, Secret Defenders, Clan Yashida, Department H, Flight / Alpha Flight, Department K,  Knights of Wundagore, CIA Team X,[58] Weapon X, Canadian Army (Devil's Brigade, 1st Canadian Parachute Battalion), Logan's Mutant Team, Mighty, Hudson Bay Company, Landau, Luckman & Lake, S.H.I.E.L.D., Black Dragon Tong, Triads, Yakuza, Hand, Maximillian Ernesto Seville Circus, Mystique's Kansas City gang, Romulus' organization""]",Wolverine,James Howlett,,"X-Men, Krakoa's X-Force; formerly Avengers Unity Division, Offer's Squad, Avengers, Murder Circus (brainwashed), Cyclops' and Archangel's X-Force (founding member, co-leader with Archangel), New Avengers, X.S.E., Horsemen of Apocalypse, New Fantastic Four, Secret Defenders, Clan Yashida, Department H, Flight / Alpha Flight, Department K,  Knights of Wundagore, CIA Team X,[58] Weapon X, Canadian Army (Devil's Brigade, 1st Canadian Parachute Battalion), Logan's Mutant Team, Mighty, Hudson Bay Company, Landau, Luckman & Lake, S.H.I.E.L.D., Black Dragon Tong, Triads, Yakuza, Hand, Maximillian Ernesto Seville Circus, Mystique's Kansas City gang, Romulus' organization"
http://marvel.wikia.com/wiki/Thor_Odinson_(Earth-616),2379,-33.112705,23.701637,4,"['Thor', 'Thor Odinson', 'Asgardians, Avengers, ally of Beta Ray Bill; formerly Heralds of Galactus, Hydra\'s Avengers, Thor Corps, New Avengers, Avengers Unity Division, Axis, Avengers (Heroes Reborn), Avengers of 1,000 AD, League of Realms, God Squad, Queen\'s Vengeance, Circus of Crime,[30] Godpack (member and ally), ""Thor Corps,"" ally of the First Line[31]']",Thor,Thor Odinson,,"Asgardians, Avengers, ally of Beta Ray Bill; formerly Heralds of Galactus, Hydra's Avengers, Thor Corps, New Avengers, Avengers Unity Division, Axis, Avengers (Heroes Reborn), Avengers of 1,000 AD, League of Realms, God Squad, Queen's Vengeance, Circus of Crime,[30] Godpack (member and ally), ""Thor Corps,"" ally of the First Line[31]"
http://marvel.wikia.com/wiki/Benjamin_Grimm_(Earth-616),2322,-33.461445,20.174198,5,"['The Thing', 'Benjamin Jacob ""Ben"" Grimm', 'Fantastic Four (founding member); formerly Yancy Street Gang, USMC, USAF, NASA, Defenders (associate), Project Pegasus (staff), Thunderiders, Unlimited Class Wrestling Federation, Avengers West Coast, New Avengers, Initiative (guest instructor), ally of Les Heroes de Paris, Future Foundation, Worthy, Guardians of the Galaxy, S.H.I.E.L.D., Underground, Fantastic Three, Terrific Three, Monster Mob']",The Thing,"Benjamin Jacob ""Ben"" Grimm",Ben Grimm,"Fantastic Four (founding member); formerly Yancy Street Gang, USMC, USAF, NASA, Defenders (associate), Project Pegasus (staff), Thunderiders, Unlimited Class Wrestling Federation, Avengers West Coast, New Avengers, Initiative (guest instructor), ally of Les Heroes de Paris, Future Foundation, Worthy, Guardians of the Galaxy, S.H.I.E.L.D., Underground, Fantastic Three, Terrific Three, Monster Mob"
http://marvel.wikia.com/wiki/Reed_Richards_(Earth-616),2114,-33.314774,20.36881,6,"['Mister Fantastic', 'Dr. Reed Richards', 'Fantastic Four (founder and leader); formerly Future Foundation, Initiative, Illuminati (founder), Avengers, Defenders, Interdimensional Council of Reeds, Knights of the Atomic Round Table, Headbangers']",Mister Fantastic,Dr. Reed Richards,,"Fantastic Four (founder and leader); formerly Future Foundation, Initiative, Illuminati (founder), Avengers, Defenders, Interdimensional Council of Reeds, Knights of the Atomic Round Table, Headbangers"
http://marvel.wikia.com/wiki/Bruce_Banner_(Earth-616),2068,-32.368385,22.525208,7,"['Hulk', 'Robert Bruce Banner', 'United States Hulk Operations; formerly Yakuza, Cosmic Avengers, Challenger, ally of Hydra, The Hand, Illuminati, Axis, Avengers, S.H.I.E.L.D.(T.I.M.E.), Secret Avengers, Incredible Hulks, Worthy, Parker Technologies, Horizon Labs, Warbound, Defenders, New Hulkbusters (leader), Pantheon, Titans Three, The Order, Hulkbusters of Counter-Earth, New Fantastic Four, Secret Defenders, Mighty Avengers, Horsemen of Apocalypse,[47] Knights of the Atomic Round Table']",Hulk,Robert Bruce Banner,,"United States Hulk Operations; formerly Yakuza, Cosmic Avengers, Challenger, ally of Hydra, The Hand, Illuminati, Axis, Avengers, S.H.I.E.L.D.(T.I.M.E.), Secret Avengers, Incredible Hulks, Worthy, Parker Technologies, Horizon Labs, Warbound, Defenders, New Hulkbusters (leader), Pantheon, Titans Three, The Order, Hulkbusters of Counter-Earth, New Fantastic Four, Secret Defenders, Mighty Avengers, Horsemen of Apocalypse,[47] Knights of the Atomic Round Table"
http://marvel.wikia.com/wiki/Scott_Summers_(Earth-616),2048,32.717915,17.983305,8,"['Cyclops', 'Scott Summers', ""X-Men (founding member, leader), Great Captains of Krakoa; formerly Hounds, Champions, X-Men (New Charles Xavier School member) (founding member and leader), Multiversal X-Men (founder and leader), Phoenix Five, X-Force (founder), Corsairs (squad leader), The Twelve, Clan Rebellion, X-Factor/X-Terminators (founding member), Beginagains, Future Iron Man's Team, X-Corporation; X-Men; Champions, X-Men (New Charles Xavier School), Starjammers""]",Cyclops,Scott Summers,,"X-Men (founding member, leader), Great Captains of Krakoa; formerly Hounds, Champions, X-Men (New Charles Xavier School member) (founding member and leader), Multiversal X-Men (founder and leader), Phoenix Five, X-Force (founder), Corsairs (squad leader), The Twelve, Clan Rebellion, X-Factor/X-Terminators (founding member), Beginagains, Future Iron Man's Team, X-Corporation; X-Men; Champions, X-Men (New Charles Xavier School), Starjammers"
http://marvel.wikia.com/wiki/Jonathan_Storm_(Earth-616),2013,-32.5856,21.453154,9,"['Human Torch', 'Jonathan Lowell Spencer ""Johnny"" Storm', 'Fantastic Four (founding member), Fantastic Four, Inc., ally of the Inhumans; formerly Avengers Unity Division, Torrid Twosome, Fantastic Force, Heralds of Galactus, Secret Avengers, Future Foundation, Terrific Three ally of Light Brigade, ""This Team"", Fantastic Three']",Human Torch,"Jonathan Lowell Spencer ""Johnny"" Storm",Johnny Storm,"Fantastic Four (founding member), Fantastic Four, Inc., ally of the Inhumans; formerly Avengers Unity Division, Torrid Twosome, Fantastic Force, Heralds of Galactus, Secret Avengers, Future Foundation, Terrific Three ally of Light Brigade, ""This Team"", Fantastic Three"
